FECHA,COD_ALMACEN,COD_SKU,DESC_SKU,DEMANDA
25-11-19,W113,PT-052,SKU_52,4
26-11-19,W113,PT-009,SKU_9,3
29-11-19,W113,PT-017,SKU_17,1
28-11-19,W113,PT-119,SKU_119,3
29-11-19,W113,PT-096,SKU_96,1
29-11-19,W113,PT-004,SKU_4,1
29-11-19,W113,PT-076,SKU_76,1
15-11-19,W113,PT-122,SKU_122,53
15-11-19,W113,PT-119,SKU_119,2
24-11-19,W113,PT-034,SKU_34,4
24-11-19,W113,PT-008,SKU_8,3
24-11-19,W113,PT-062,SKU_62,1
24-11-19,W113,PT-049,SKU_49,2
24-11-19,W113,PT-124,SKU_124,1
25-11-19,W113,PT-012,SKU_12,3
28-11-19,W113,PT-026,SKU_26,5
28-11-19,W113,PT-089,SKU_89,4
28-11-19,W113,PT-006,SKU_6,1
28-11-19,W113,PT-118,SKU_118,2
10-11-19,W113,PT-013,SKU_13,43
10-11-19,W113,PT-048,SKU_48,6
10-11-19,W113,PT-045,SKU_45,6
10-11-19,W113,PT-035,SKU_35,1
10-11-19,W113,PT-026,SKU_26,9
10-11-19,W113,PT-027,SKU_27,2
10-11-19,W113,PT-052,SKU_52,6
10-11-19,W113,PT-015,SKU_15,4
23-11-19,W113,PT-048,SKU_48,5
23-11-19,W113,PT-002,SKU_2,3
23-11-19,W113,PT-023,SKU_23,12
23-11-19,W113,PT-039,SKU_39,13
23-11-19,W113,PT-036,SKU_36,9
24-11-19,W113,PT-079,SKU_79,1
28-11-19,W113,PT-015,SKU_15,1
23-11-19,W113,PT-031,SKU_31,8
23-11-19,W113,PT-105,SKU_105,11
23-11-19,W113,PT-117,SKU_117,2
23-11-19,W113,PT-018,SKU_18,1
10-11-19,W113,PT-125,SKU_125,2
10-11-19,W113,PT-008,SKU_8,1
10-11-19,W113,PT-042,SKU_42,4
18-11-19,W113,PT-012,SKU_12,2
18-11-19,W113,PT-106,SKU_106,5
18-11-19,W113,PT-001,SKU_1,9
18-11-19,W113,PT-046,SKU_46,5
18-11-19,W113,PT-029,SKU_29,5
23-11-19,W113,PT-054,SKU_54,1
18-11-19,W113,PT-048,SKU_48,4
01-11-19,W113,PT-012,SKU_12,1
01-11-19,W113,PT-005,SKU_5,4
01-11-19,W113,PT-104,SKU_104,17
01-11-19,W113,PT-023,SKU_23,12
01-11-19,W113,PT-026,SKU_26,13
01-11-19,W113,PT-039,SKU_39,3
01-11-19,W113,PT-006,SKU_6,1
01-11-19,W113,PT-031,SKU_31,1
04-11-19,W113,PT-001,SKU_1,43
04-11-19,W113,PT-035,SKU_35,3
04-11-19,W113,PT-056,SKU_56,1
04-11-19,W113,PT-105,SKU_105,14
04-11-19,W113,PT-079,SKU_79,4
04-11-19,W113,PT-038,SKU_38,5
04-11-19,W113,PT-018,SKU_18,2
04-11-19,W113,PT-004,SKU_4,1
03-11-19,W113,PT-048,SKU_48,3
03-11-19,W113,PT-010,SKU_10,20
03-11-19,W113,PT-056,SKU_56,1
03-11-19,W113,PT-026,SKU_26,7
03-11-19,W113,PT-023,SKU_23,13
03-11-19,W113,PT-027,SKU_27,1
03-11-19,W113,PT-106,SKU_106,9
03-11-19,W113,PT-040,SKU_40,2
03-11-19,W113,PT-049,SKU_49,1
02-11-19,W113,PT-023,SKU_23,16
02-11-19,W113,PT-102,SKU_102,2
02-11-19,W113,PT-119,SKU_119,6
02-11-19,W113,PT-028,SKU_28,2
02-11-19,W113,PT-089,SKU_89,20
02-11-19,W113,PT-040,SKU_40,3
02-11-19,W113,PT-006,SKU_6,3
27-11-19,W113,PT-022,SKU_22,21
27-11-19,W113,PT-106,SKU_106,11
27-11-19,W113,PT-102,SKU_102,4
27-11-19,W113,PT-015,SKU_15,7
27-11-19,W113,PT-023,SKU_23,9
27-11-19,W113,PT-046,SKU_46,2
27-11-19,W113,PT-118,SKU_118,7
02-11-19,W113,PT-043,SKU_43,1
05-11-19,W113,PT-048,SKU_48,6
27-11-19,W113,PT-019,SKU_19,5
27-11-19,W113,PT-049,SKU_49,1
27-11-19,W113,PT-117,SKU_117,1
05-11-19,W113,PT-121,SKU_121,3
05-11-19,W113,PT-047,SKU_47,2
06-11-19,W113,PT-019,SKU_19,3
06-11-19,W113,PT-030,SKU_30,3
06-11-19,W113,PT-020,SKU_20,4
06-11-19,W113,PT-035,SKU_35,1
06-11-19,W113,PT-121,SKU_121,4
06-11-19,W113,PT-089,SKU_89,4
